ldf_num,condition,partnersExposure,label,exposures,trueClickPoints,trueLabelPoints,pointCost,speechCost,testCorrect,known,estimated_p,appearance,method,score,action
6,100_30,0,gazzer,2,30,100,70,0,1,TRUE,0.612225058736175,2,point,30,speak
6,100_30,0,gazzer,2,30,100,70,0,1,TRUE,0.612225058736175,3,point,30,speak
6,100_30,0,kiv,4,30,100,70,0,1,TRUE,0.612225058736175,1,point,30,teach
6,100_30,0,kiv,4,30,100,70,0,1,TRUE,0.612225058736175,2,point,30,speak
6,100_30,0,kiv,4,30,100,70,0,1,TRUE,0.612225058736175,3,teach,30,point
6,100_30,0,kreeb,4,30,100,70,0,1,TRUE,0.612225058736175,1,point,30,teach
6,100_30,0,kreeb,4,30,100,70,0,1,TRUE,0.612225058736175,2,point,30,teach
6,100_30,0,kreeb,4,30,100,70,0,1,TRUE,0.612225058736175,3,point,30,speak
6,100_30,0,manu,4,30,100,70,0,1,TRUE,0.612225058736175,1,point,30,teach
6,100_30,0,manu,4,30,100,70,0,1,TRUE,0.612225058736175,2,point,30,speak
6,100_30,0,manu,4,30,100,70,0,1,TRUE,0.612225058736175,3,point,30,point
6,100_30,0,toma,1,30,100,70,0,1,TRUE,0.612225058736175,1,point,30,teach
6,100_30,0,toma,1,30,100,70,0,1,TRUE,0.612225058736175,2,point,30,speak
6,100_30,0,toma,1,30,100,70,0,1,TRUE,0.612225058736175,3,point,30,teach
6,100_30,0,wug,1,30,100,70,0,0,FALSE,0.612225058736175,1,point,30,point
6,100_30,0,wug,1,30,100,70,0,0,FALSE,0.612225058736175,2,point,30,point
6,100_30,0,wug,1,30,100,70,0,0,FALSE,0.612225058736175,3,point,30,point
7,100_30,0,blicket,4,30,100,70,0,1,TRUE,0.4748379096237692,1,teach,30,teach
7,100_30,0,blicket,4,30,100,70,0,1,TRUE,0.4748379096237692,2,point,30,teach
7,100_30,0,blicket,4,30,100,70,0,1,TRUE,0.4748379096237692,3,point,30,teach
7,100_30,0,dax,1,30,100,70,0,1,TRUE,0.4748379096237692,1,teach,30,teach
7,100_30,0,dax,1,30,100,70,0,1,TRUE,0.4748379096237692,2,point,30,point
7,100_30,0,dax,1,30,100,70,0,1,TRUE,0.4748379096237692,3,point,30,speak
7,100_30,0,fep,1,30,100,70,0,0,FALSE,0.4748379096237692,1,point,30,point
7,100_30,0,fep,1,30,100,70,0,0,FALSE,0.4748379096237692,2,point,30,point
7,100_30,0,fep,1,30,100,70,0,0,FALSE,0.4748379096237692,3,point,30,point
7,100_30,0,gazzer,1,30,100,70,0,0,FALSE,0.4748379096237692,1,point,30,point
7,100_30,0,gazzer,1,30,100,70,0,0,FALSE,0.4748379096237692,2,point,30,point
7,100_30,0,gazzer,1,30,100,70,0,0,FALSE,0.4748379096237692,3,point,30,point
7,100_30,0,kiv,2,30,100,70,0,0,FALSE,0.4748379096237692,1,point,30,point
7,100_30,0,kiv,2,30,100,70,0,0,FALSE,0.4748379096237692,2,teach,30,point
7,100_30,0,kiv,2,30,100,70,0,0,FALSE,0.4748379096237692,3,point,30,point
7,100_30,0,kreeb,4,30,100,70,0,1,TRUE,0.4748379096237692,1,teach,30,teach
7,100_30,0,kreeb,4,30,100,70,0,1,TRUE,0.4748379096237692,2,teach,30,speak
7,100_30,0,kreeb,4,30,100,70,0,1,TRUE,0.4748379096237692,3,point,30,speak
7,100_30,0,manu,2,30,100,70,0,1,TRUE,0.4748379096237692,1,teach,30,teach
7,100_30,0,manu,2,30,100,70,0,1,TRUE,0.4748379096237692,2,teach,30,speak
7,100_30,0,manu,2,30,100,70,0,1,TRUE,0.4748379096237692,3,point,30,speak
7,100_30,0,toma,4,30,100,70,0,1,TRUE,0.4748379096237692,1,teach,30,teach
7,100_30,0,toma,4,30,100,70,0,1,TRUE,0.4748379096237692,2,teach,30,speak
