"","X1","ldf_num","phase","condition","partnersExposure","trialnum","score","partnerVocab","targetObjectName","exposureRate","realLabel","method","typedLabel","adjLabel","clickedObject","responseCorrect","partnerSelection","timestamp","duration","testCorrect","trueClickPoints","trueLabelPoints","toBeDropped","appearance","manipFail","usedEnglishLabels"
"53",53,2,"game","100_30","None",26,100,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"", ""wug"", ""2025-600.jpg"", ""dax"", ""2007-600.jpg"", ""kiv"", ""2009-600.jpg"", ""gazzer"", ""2023-600.jpg"", ""kreeb"", ""2005-600.jpg"", ""fep"", ""2001-600.jpg"", ""manu"", ""2056-600.jpg"")","2007-600.jpg","1","dax","label","dax","dax",NA,1,"2007-600.jpg",14:41:23,8997,1,30,100,0,"Third",0,0
"54",54,2,"game","100_30","None",27,30,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"", ""wug"", ""2025-600.jpg"", ""dax"", ""2007-600.jpg"", ""kiv"", ""2009-600.jpg"", ""gazzer"", ""2023-600.jpg"", ""kreeb"", ""2005-600.jpg"", ""fep"", ""2001-600.jpg"", ""manu"", ""2056-600.jpg"")","2025-600.jpg","2","wug","label_click","wug","wug","wug",1,"2025-600.jpg",14:41:45,12112,1,30,100,0,"Third",0,0
"55",55,3,"game","100_30","None",1,30,"character(0)","2025-600.jpg","2","wug","click",NA,NA,"wug",1,"2025-600.jpg",15:46:40,5456,1,30,100,0,"First",0,0
"56",56,3,"game","100_30","None",2,30,"character(0)","2005-600.jpg","2","blicket","click",NA,NA,"blicket",1,"2005-600.jpg",15:46:46,3360,0,30,100,0,"First",0,0
"57",57,3,"game","100_30","None",3,30,"c(""toma"", ""2002-600.jpg"")","2002-600.jpg","4","toma","label_click","toma","toma","toma",1,"2002-600.jpg",15:46:56,5576,1,30,100,0,"First",0,0
"58",58,3,"game","100_30","None",4,30,"c(""toma"", ""2002-600.jpg"", ""wuz"", ""2025-600.jpg"")","2025-600.jpg","2","wug","label_click","wuz","wug","wug",1,"2025-600.jpg",15:47:03,5208,1,30,100,0,"Second",0,0
"59",59,3,"game","100_30","None",5,30,"c(""toma"", ""2002-600.jpg"", ""wuz"", ""2025-600.jpg"", ""zug"", ""2009-600.jpg"")","2009-600.jpg","4","fep","label_click","zug","wug","fep",1,"2009-600.jpg",15:47:18,11240,1,30,100,0,"First",0,0
"60",60,3,"game","100_30","None",6,30,"c(""toma"", ""2002-600.jpg"", ""wuz"", ""2025-600.jpg"", ""zug"", ""2009-600.jpg"", ""rar"", ""2056-600.jpg"")","2056-600.jpg","2","manu","label_click","rar","dax","manu",1,"2056-600.jpg",15:47:27,4855,0,30,100,0,"First",0,0
"61",61,3,"game","100_30","None",7,30,"c(""toma"", ""2002-600.jpg"", ""wuz"", ""2025-600.jpg"", ""zug"", ""2009-600.jpg"", ""rar"", ""2056-600.jpg"", ""weg"", ""2005-600.jpg"")","2005-600.jpg","2","blicket","label_click","weg","wug","blicket",1,"2005-600.jpg",15:47:36,5337,0,30,100,0,"Second",0,0
"62",62,3,"game","100_30","None",8,30,"c(""toma"", ""2002-600.jpg"", ""wuz"", ""2025-600.jpg"", ""zug"", ""2009-600.jpg"", ""rar"", ""2056-600.jpg"", ""weg"", ""2005-600.jpg"", ""kreeb"", ""2001-600.jpg"")","2001-600.jpg","4","kreeb","label_click","kreeb","kreeb","kreeb",1,"2001-600.jpg",15:47:45,7473,1,30,100,0,"First",0,0
"63",63,3,"game","100_30","None",9,30,"c(""toma"", ""2002-600.jpg"", ""wuz"", ""2025-600.jpg"", ""zug"", ""2009-600.jpg"", ""rar"", ""2056-600.jpg"", ""weg"", ""2005-600.jpg"", ""kreeb"", ""2001-600.jpg"", ""gazz"", ""2006-600.jpg"")","2006-600.jpg","1","dax","label_click","gazz","gazzer","dax",1,"2006-600.jpg",15:47:53,3543,0,30,100,0,"First",0,0
